VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;VALKRETSKOD;VALKRETSNAMN;LÄNSKOD;LÄNSNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;ANMÄLNINGSDATUM;BESLUTSDATUM;DIARIENUMMER;REGISTRERADPARTIBETECKNING;ANMÄLDAKANDIDATER;DELTAGANDEGRUND
RD;00;Riket;01;Stockholms kommun;01;Stockholm;FramtidsTro;FT;1449;2020-05-23;2020-07-02;200 72-20/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Fredspartiet; ;1484;2021-09-02;2021-09-09;2 00 162-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Fria Wermland; ;1548;2022-02-15;2022-03-23;VAL-166;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Frihetsrörelsen; ;1573;2022-03-16;2022-04-20;VAL-251;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Fritt val; ;1479;2021-06-16;2021-06-24;2 00 120-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Förenade Demokratiska Partiet; ;1577;2022-03-21;2022-04-13;VAL-265;J;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Företaget Sverige; ;1510;2021-12-10;2021-12-21;200288-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Gula västarna; ;1436;2019-02-26;2019-05-10;200 104119-19/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Humanistisk demokrati (HD);HD;1480;2021-06-28;2021-07-02;2 00 124-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;John Mikkonen; ;1598;2022-05-16; ;VAL-349;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;JUSTITIE PARTIET; ;1529;2022-02-01; ;VAL-114;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Kalle ankapartiet; ;1579;2022-03-22;2022-04-05;VAL-271;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Kapitalism med vänligt ansikte; ;1495;2021-10-12;2021-10-19;2 00 197-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Klassiskt liberala partiet;KLP;0638;2022-01-16;2022-01-28;VAL-84;J;J;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Klassiskt liberala partiet;KLP;0638;2022-04-14;2022-04-14; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Klimatalliansen;KA;1543;2022-04-22;2022-04-22; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Kristdemokraterna;KD;0068;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Kristdemokraterna;KD;0068;2022-03-22;2022-03-22; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Kristna Värdepartiet; ;1551;2022-02-24;2022-03-17;VAL-186;J;J;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Kristna Värdepartiet; ;1551;2022-04-19;2022-04-19; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Kärlek; ;1465;2021-01-28;2021-03-09;2 00 51-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Landsbygdspartiet Oberoende;LPo;1011;2022-02-21;2022-02-23;VAL-171;J;J;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Landsbygdspartiet Oberoende;LPo;1011;2022-04-20;2022-04-20; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Liberalerna (tidigare Folkpartiet);L;0003;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Liberalerna (tidigare Folkpartiet);L;0003;2022-04-01;2022-04-01; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Medborgarresan; ;1330;2019-08-22;2019-10-14;200 360174-19/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Medborgerlig Samling;MED;1296;2022-04-17;2022-04-17; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Medborgerlig Samling;MED;1296;2020-12-12;2020-12-22;200 151-20/98234;J;J;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Miljöpartiet de gröna;MP;0055;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Miljöpartiet de gröna;MP;0055;2022-04-08;2022-04-08; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;MITT SVERIGE; ;1591;2022-04-20;2022-04-20;VAL-305;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;MoD; ;1568;2022-04-29;2022-04-29; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Moderaterna;M;0001;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Moderaterna;M;0001;2022-03-24;2022-03-24; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Monisterna; ;1502;2021-11-17;2021-11-23;2 00 262-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Mälaröarnas parti; ;1440;2019-10-15;2019-10-31;200 428004-19/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Nationalsocialistiska reformistiska Partiet; ;1595;2022-04-11;2022-04-26;VAL-292;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;NaturFilosoferna; ;1460;2020-09-08;2020-12-22;200 103-20/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Nordiska motståndsrörelsen;NMR;1273;2022-04-05;2022-04-05; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Ny Demokrati; ;1596;2022-05-09; ;VAL-329;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;NY REFORM; ;1528;2022-02-01;2022-03-17;VAL-115;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;OK; ;1478;2021-06-14;2021-06-24;2 00 117-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Partiet Folkomröstning; ;1578;2022-03-22;2022-05-02;VAL-270;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Partiet Nyans; ;1439;2019-10-03;2019-10-31;200 415580-19/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Partiet Vändpunkt;PV;1430;2022-04-20;2022-04-20; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Partiet Vändpunkt;PV;1430;2021-11-18;2021-12-14;2 00 265-21/98234;J;J;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Pax; ;1491;2021-09-22;2021-09-28;200 174-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Piratpartiet;PP;0524;2022-04-25;2022-04-27;VAL-312;J;J;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Piratpartiet;PP;0524;2022-04-22;2022-04-22; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Positivt Samhällsinitiativ (PSI); ;1475;2021-05-24;2021-06-22;200 101-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Progressiva partiet; ;1582;2022-03-24; ;VAL-278;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Rastliberalerna; ;1508;2021-09-29;2021-12-14;200 177-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Rikspolitiska partiet; ;1496;2021-10-08;2021-10-19;2 00 198-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;SKP; ;1586;2022-04-08;2022-05-23;VAL-289;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;SKÅNEPARTIET;SKÅ;0054;2022-05-06;2022-05-10;VAL-330;J;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Socialisterna-Välfärdspartiet;S-V;0977;2021-12-01;2021-12-21;200276-21/98234;J;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Sociallibertarianerna; ;1507;2021-12-02;2022-01-13;200 275-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Stora Norrlands oberoende Frihetsparti; ;1559;2022-02-24;2022-04-12;VAL-201;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Stram Kurs Sverige; ;1592;2022-04-20;2022-04-21;VAL-306;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Svenska Rikslagen; ;1513;2021-12-20;2021-12-21;200 298-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;SVENSKARNA; ;1444;2020-01-23;2020-03-06;200 22-20/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;2021-09-27;2021-10-05;200 180-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Sverigedemokraterna;SD;0110;2022-04-19;2022-04-19; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Sverigedemokraterna;SD;0110;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Sverigepartiet; ;1457;2020-10-23;2020-12-08;200129-20/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Swexitpartiet; ;1461;2020-11-24;2021-01-19;2007-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Säkerhetspartiet; ;1466;2021-02-12;2021-03-09;2 00 49-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;TRYGGHETSPARTIET;TRP;1309;2022-02-12;2022-02-17;VAL-150;J;J;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;TRYGGHETSPARTIET;TRP;1309;2022-04-19;2022-04-19; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Vinningspartiet; ;1468;2021-01-28;2021-04-27;20031-21/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Vänsterpartiet;V;0005;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Vänsterpartiet;V;0005;2022-03-24;2022-03-24; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Yggdrasil; ;1454;2020-09-30;2020-11-24;200122-20/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Ändrings partiet revolution; ;1404;2021-08-20;2021-08-24;200147-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Alternativ för Sverige;AfS;1325;2020-08-31;2020-09-10;200 101-20/98234;J;J;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Alternativ för Sverige;AfS;1325;2022-04-12;2022-04-12; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Arbetarepartiet-Socialdemokraterna;S;0002;2022-03-24;2022-03-24; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Arbetarepartiet-Socialdemokraterna;S;0002;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;02;Stockholms län;01;Stockholm;Centerpartiet;C;0004;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;02;Stockholms län;01;Stockholm;Centerpartiet;C;0004;2022-03-30;2022-03-30; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Common sense in Sweden;CSIS;1318;2020-11-26;2020-12-08;200144-20/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Direktdemokraterna;DD;1150;2022-04-29;2022-04-29; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Direktdemokraterna;DD;1150;2021-01-24;2021-03-09;2 00 37-21/98234;J;J;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Enad Politik; ;1589;2022-04-11;2022-04-21;VAL-291;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Enade Sverige; ;1448;2020-05-27;2020-06-16;200 73-20/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Enhet;ENH;0189;2022-04-20;2022-05-23;VAL-322;J;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;EUSEC; ;1534;2022-02-08;2022-03-17;VAL-134;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;FAMILJENS FRIHET; ;1574;2022-03-16; ;VAL-252;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Feministiskt initiativ;FI;0532;2022-04-22;2022-04-22; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Feministiskt initiativ;FI;0532;2022-01-24;2022-02-08;VAL-93;J;J;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;FOLKOMROSTA2021.SE; ;1489;2021-09-14;2021-09-28;2 00 170-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;FramtidsTro;FT;1449;2020-05-23;2020-07-02;200 72-20/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Fredspartiet; ;1484;2021-09-02;2021-09-09;2 00 162-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Fria Wermland; ;1548;2022-02-15;2022-03-23;VAL-166;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Frihetsrörelsen; ;1573;2022-03-16;2022-04-20;VAL-251;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Fritt val; ;1479;2021-06-16;2021-06-24;2 00 120-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Förenade Demokratiska Partiet; ;1577;2022-03-21;2022-04-13;VAL-265;J;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Företaget Sverige; ;1510;2021-12-10;2021-12-21;200288-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Gula västarna; ;1436;2019-02-26;2019-05-10;200 104119-19/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Humanistisk demokrati (HD);HD;1480;2021-06-28;2021-07-02;2 00 124-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;John Mikkonen; ;1598;2022-05-16; ;VAL-349;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;JUSTITIE PARTIET; ;1529;2022-02-01; ;VAL-114;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Kalle ankapartiet; ;1579;2022-03-22;2022-04-05;VAL-271;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Kapitalism med vänligt ansikte; ;1495;2021-10-12;2021-10-19;2 00 197-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Klassiskt liberala partiet;KLP;0638;2022-04-14;2022-04-14; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Klassiskt liberala partiet;KLP;0638;2022-01-16;2022-01-28;VAL-84;J;J;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Klimatalliansen;KA;1543;2022-04-22;2022-04-22; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Kristdemokraterna;KD;0068;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;02;Stockholms län;01;Stockholm;Kristdemokraterna;KD;0068;2022-03-22;2022-03-22; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Kristna Värdepartiet; ;1551;2022-04-19;2022-04-19; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Kristna Värdepartiet; ;1551;2022-02-24;2022-03-17;VAL-186;J;J;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Kärlek; ;1465;2021-01-28;2021-03-09;2 00 51-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Landsbygdspartiet Oberoende;LPo;1011;2022-04-20;2022-04-20; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Landsbygdspartiet Oberoende;LPo;1011;2022-02-21;2022-02-23;VAL-171;J;J;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Liberalerna (tidigare Folkpartiet);L;0003;2022-04-01;2022-04-01; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Liberalerna (tidigare Folkpartiet);L;0003;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;02;Stockholms län;01;Stockholm;Medborgarresan; ;1330;2019-08-22;2019-10-14;200 360174-19/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Medborgerlig Samling;MED;1296;2022-04-17;2022-04-17; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Medborgerlig Samling;MED;1296;2020-12-12;2020-12-22;200 151-20/98234;J;J;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Miljöpartiet de gröna;MP;0055;2022-04-08;2022-04-08; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Miljöpartiet de gröna;MP;0055;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;02;Stockholms län;01;Stockholm;MITT SVERIGE; ;1591;2022-04-20;2022-04-20;VAL-305;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;MoD; ;1568;2022-04-29;2022-04-29; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Moderaterna;M;0001;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;02;Stockholms län;01;Stockholm;Moderaterna;M;0001;2022-03-24;2022-03-24; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Monisterna; ;1502;2021-11-17;2021-11-23;2 00 262-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Mälaröarnas parti; ;1440;2019-10-15;2019-10-31;200 428004-19/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Nationalsocialistiska reformistiska Partiet; ;1595;2022-04-11;2022-04-26;VAL-292;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;NaturFilosoferna; ;1460;2020-09-08;2020-12-22;200 103-20/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Nordiska motståndsrörelsen;NMR;1273;2022-04-05;2022-04-05; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Ny Demokrati; ;1596;2022-05-09; ;VAL-329;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;NY REFORM; ;1528;2022-02-01;2022-03-17;VAL-115;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;OK; ;1478;2021-06-14;2021-06-24;2 00 117-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Partiet Folkomröstning; ;1578;2022-03-22;2022-05-02;VAL-270;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Partiet Nyans; ;1439;2019-10-03;2019-10-31;200 415580-19/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Partiet Vändpunkt;PV;1430;2022-04-20;2022-04-20; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Partiet Vändpunkt;PV;1430;2021-11-18;2021-12-14;2 00 265-21/98234;J;J;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Pax; ;1491;2021-09-22;2021-09-28;200 174-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Piratpartiet;PP;0524;2022-04-25;2022-04-27;VAL-312;J;J;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Piratpartiet;PP;0524;2022-04-22;2022-04-22; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Positivt Samhällsinitiativ (PSI); ;1475;2021-05-24;2021-06-22;200 101-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Progressiva partiet; ;1582;2022-03-24; ;VAL-278;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Rastliberalerna; ;1508;2021-09-29;2021-12-14;200 177-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Rikspolitiska partiet; ;1496;2021-10-08;2021-10-19;2 00 198-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;SKP; ;1586;2022-04-08;2022-05-23;VAL-289;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;SKÅNEPARTIET;SKÅ;0054;2022-05-06;2022-05-10;VAL-330;J;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Socialisterna-Välfärdspartiet;S-V;0977;2021-12-01;2021-12-21;200276-21/98234;J;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Sociallibertarianerna; ;1507;2021-12-02;2022-01-13;200 275-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Stora Norrlands oberoende Frihetsparti; ;1559;2022-02-24;2022-04-12;VAL-201;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Stram Kurs Sverige; ;1592;2022-04-20;2022-04-21;VAL-306;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Svenska Rikslagen; ;1513;2021-12-20;2021-12-21;200 298-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;SVENSKARNA; ;1444;2020-01-23;2020-03-06;200 22-20/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;2021-09-27;2021-10-05;200 180-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Sverigedemokraterna;SD;0110;2022-04-19;2022-04-19; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Sverigedemokraterna;SD;0110;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;02;Stockholms län;01;Stockholm;Sverigepartiet; ;1457;2020-10-23;2020-12-08;200129-20/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Swexitpartiet; ;1461;2020-11-24;2021-01-19;2007-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Säkerhetspartiet; ;1466;2021-02-12;2021-03-09;2 00 49-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;TRYGGHETSPARTIET;TRP;1309;2022-02-12;2022-02-17;VAL-150;J;J;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;TRYGGHETSPARTIET;TRP;1309;2022-04-19;2022-04-19; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Vinningspartiet; ;1468;2021-01-28;2021-04-27;20031-21/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Vänsterpartiet;V;0005;2022-03-24;2022-03-24; ;J;J;K;
RD;00;Riket;02;Stockholms län;01;Stockholm;Vänsterpartiet;V;0005;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;02;Stockholms län;01;Stockholm;Yggdrasil; ;1454;2020-09-30;2020-11-24;200122-20/98234;N;N;A;
RD;00;Riket;02;Stockholms län;01;Stockholm;Ändrings partiet revolution; ;1404;2021-08-20;2021-08-24;200147-21/98234;N;N;A;
RD;00;Riket;03;Uppsala län;03;Uppsala;Alternativ för Sverige;AfS;1325;2022-04-12;2022-04-12; ;J;J;K;
RD;00;Riket;03;Uppsala län;03;Uppsala;Alternativ för Sverige;AfS;1325;2020-08-31;2020-09-10;200 101-20/98234;J;J;A;
RD;00;Riket;03;Uppsala län;03;Uppsala;Arbetarepartiet-Socialdemokraterna;S;0002;2022-03-24;2022-03-24; ;J;J;K;
RD;00;Riket;03;Uppsala län;03;Uppsala;Arbetarepartiet-Socialdemokraterna;S;0002;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;03;Uppsala län;03;Uppsala;Centerpartiet;C;0004;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;03;Uppsala län;03;Uppsala;Centerpartiet;C;0004;2022-03-30;2022-03-30; ;J;J;K;
RD;00;Riket;03;Uppsala län;03;Uppsala;Common sense in Sweden;CSIS;1318;2020-11-26;2020-12-08;200144-20/98234;N;N;A;
RD;00;Riket;03;Uppsala län;03;Uppsala;Direktdemokraterna;DD;1150;2021-01-24;2021-03-09;2 00 37-21/98234;J;J;A;
RD;00;Riket;03;Uppsala län;03;Uppsala;Direktdemokraterna;DD;1150;2022-04-29;2022-04-29; ;J;J;K;
RD;00;Riket;03;Uppsala län;03;Uppsala;Enad Politik; ;1589;2022-04-11;2022-04-21;VAL-291;N;N;A;
RD;00;Riket;03;Uppsala län;03;Uppsala;Enade Sverige; ;1448;2020-05-27;2020-06-16;200 73-20/98234;N;N;A;
